,actual,predicted
0,1,0
1,0,1
2,1,0
3,0,1
4,1,0
5,0,1
6,1,0
7,0,1
8,1,0
9,0,1
10,0,0
11,1,0
12,0,1
13,1,0
14,0,1
15,1,0
16,0,1
17,1,0
18,0,1
19,1,0
20,1,1
21,0,1
22,1,0
23,0,1
24,1,0
25,0,1
26,1,0
27,1,1
28,0,1
29,1,0
30,0,1
31,1,0
32,0,1
33,1,0
34,0,1
35,1,0
36,0,1
37,1,0
38,0,1
39,1,0
40,0,1
41,1,0
42,0,1
43,1,0
44,0,1
45,1,0
46,0,1
47,1,0
48,0,1
49,1,0
50,0,1
51,1,0
52,0,1
53,1,0
54,0,1
55,1,0
56,0,1
57,1,0
58,0,1
59,1,0
60,0,1
61,1,0
62,0,1
63,1,0
64,0,1
65,1,0
66,0,1
67,1,0
68,0,1
69,1,0
70,0,1
71,1,0
72,0,1
73,1,0
74,0,1
75,1,0
76,0,1
77,1,0
78,1,1
79,0,1
80,0,0
81,1,0
82,0,1
83,1,0
84,0,1
85,1,0
86,0,1
87,1,0
88,0,1
89,1,0
90,0,1
91,1,0
92,0,1
93,1,0
94,0,1
95,1,0
96,0,1
97,1,0
98,0,1
99,1,0
100,0,1
101,1,0
102,0,1
103,1,0
104,0,1
105,1,0
106,0,1
107,1,0
108,0,1
109,1,0
110,0,1
111,1,0
112,0,1
113,1,0
114,0,1
115,1,0
116,0,1
117,1,0
118,0,1
119,1,0
120,0,1
121,1,0
122,1,1
123,0,1
124,1,0
125,0,1
126,1,0
127,0,1
128,1,0
129,0,1
130,1,0
131,0,1
132,1,0
133,0,1
134,1,0
135,0,1
136,1,0
137,0,1
138,1,0
139,0,1
140,1,0
141,0,1
142,1,0
143,0,1
144,1,0
145,0,1
146,1,0
147,0,1
148,1,0
149,0,1
150,1,0
151,0,1
152,1,0
153,0,1
154,1,0
155,0,1
156,1,0
157,0,1
158,1,0
159,0,1
160,1,0
161,0,1
162,1,0
163,0,1
164,1,0
165,1,1
166,0,1
167,1,0
168,0,1
169,1,0
170,0,1
171,1,0
172,0,1
173,1,0
174,0,1
175,1,0
176,0,1
177,1,0
178,0,1
179,1,0
180,0,1
181,1,0
182,0,1
183,1,0
184,0,1
185,1,0
186,0,1
187,1,0
188,0,1
189,1,0
190,0,1
191,1,0
192,0,1
193,1,0
194,0,1
195,1,0
196,0,1
197,1,0
198,0,1
199,1,0
200,1,1
201,0,1
202,1,0
203,0,1
204,1,0
205,0,1
206,1,0
207,0,1
208,1,0
209,0,1
210,1,0
211,0,1
212,0,0
213,1,0
214,0,1
215,1,0
216,0,1
217,1,0
218,0,1
219,1,0
220,0,1
221,1,0
222,0,1
223,1,0
224,0,1
225,1,0
226,0,1
227,1,0
228,0,1
229,1,0
230,0,1
231,0,0
232,1,0
233,0,1
234,1,0
235,0,1
236,1,0
237,0,1
238,1,0
239,0,1
240,1,0
241,0,1
242,1,0
243,1,1
244,0,1
245,1,0
246,0,1
247,1,0
248,0,1
249,1,0
250,0,1
251,1,0
252,0,1
253,1,0
254,0,1
255,1,0
256,0,1
257,1,0
258,0,1
259,1,0
260,0,1
261,1,0
262,0,1
263,1,0
264,0,1
265,1,0
266,0,1
267,1,0
268,0,1
269,1,0
270,0,1
271,1,0
272,0,1
273,1,0
274,1,1
275,0,1
276,1,0
277,0,1
